task,lookback,horizon,horizon_step,model,variant,RMSE,MAE,sMAPE
ENERGY,72,12,4,CNN,baseline,302.64915311198536,186.77359136875805,59.01795770745417
ENERGY,72,12,5,CNN,baseline,331.7653712455996,204.7280807335245,60.45957723545368
ENERGY,72,12,6,LSTM,baseline,360.8952075510754,225.91662454396177,61.62479874796228
ENERGY,72,12,7,CNN,baseline,382.0544738202677,236.1696883142846,63.15638391901894
ENERGY,72,12,8,CNN,baseline,400.10847001365227,245.8708703961105,64.05979350140242
ENERGY,72,12,9,CNN,baseline,413.4318165608542,253.9572021611401,65.04859599225745
ENERGY,72,12,10,CNN,baseline,426.774763430046,262.9435410690874,65.57361212311687
ENERGY,72,12,11,LSTM,baseline,438.8756858232322,273.4236350121096,65.25418158144628
ENERGY,72,12,12,CNN,baseline,451.6154558403779,279.21415978554984,66.42858395333809
ENERGY,72,24,1,CNN,baseline,213.9799565490909,137.69633965981438,54.82186730097565
ENERGY,72,24,2,CNN,baseline,248.5257710008661,159.0250364130908,56.48096099902629
ENERGY,72,24,3,CNN,baseline,283.3612715788013,180.16787873574813,58.45889459335375
ENERGY,72,24,4,CNN,baseline,316.201911688146,201.02005997262967,60.3183297390718
ENERGY,72,24,5,CNN,baseline,348.23535549643543,219.7534418674041,61.83716827369407
ENERGY,72,24,6,CNN,baseline,375.50088266506975,236.27539526053172,63.05688669422624
ENERGY,72,24,7,CNN,baseline,396.20016478935065,248.5945836032598,64.19042079283214
ENERGY,72,24,8,CNN,baseline,414.3590945053394,259.8198228923164,64.99220895162122
ENERGY,72,24,9,CNN,baseline,424.9165815843942,264.1682930729098,65.24294246229876
ENERGY,72,24,10,CNN,baseline,437.2085202131403,271.1431220041055,66.29458500657076
ENERGY,72,24,11,CNN,baseline,448.19847852631256,279.61998004483263,66.71378028325863
ENERGY,72,24,12,CNN,baseline,458.7064181502526,285.61302088159374,66.74848788362445
ENERGY,72,24,13,CNN,baseline,467.0477527659021,292.08071811552753,66.95796642655745
ENERGY,72,24,14,CNN,baseline,475.9548136201808,297.96452475145344,67.85271572845448
ENERGY,72,24,15,CNN,baseline,484.556842265487,304.90089817985114,67.59892860435106
ENERGY,72,24,16,CNN,baseline,487.79053314111184,306.57178404781376,67.96935434218719
ENERGY,72,24,17,CNN,baseline,492.05731470870217,307.66787645531275,68.27709273592632
ENERGY,72,24,18,CNN,baseline,495.9858717925374,311.1862199994428,68.51532414213077
ENERGY,72,24,19,CNN,baseline,499.1220992958183,311.6014885276773,68.50039576470847
ENERGY,72,24,20,CNN,baseline,501.9521718565297,312.9391636635418,68.59742310228121
ENERGY,72,24,21,CNN,baseline,507.573004016893,318.485302068946,69.25496624734718
ENERGY,72,24,22,CNN,baseline,509.4549773634286,320.0749197157221,69.1072560967943
ENERGY,72,24,23,CNN,baseline,507.14722164740726,318.03105274532413,69.00181056983996
ENERGY,72,24,24,CNN,baseline,513.6153276809194,324.3585283620633,69.17582926236705
ENERGY,72,72,1,CNN,baseline,292.1229996331619,189.3486693740033,57.145744783156346
ENERGY,72,72,2,CNN,baseline,309.5677537496613,202.2462563365624,58.7822387139071
ENERGY,72,72,3,CNN,baseline,332.3567376731748,215.91118725172905,60.4078247289193
ENERGY,72,72,4,CNN,baseline,355.79891516866206,229.81524704769157,61.725363335666295
ENERGY,72,72,5,CNN,baseline,375.1152792347491,242.38676134196496,63.148635028558175
ENERGY,72,72,6,CNN,baseline,402.1190229440304,260.8750451984626,64.26131049609177
ENERGY,72,72,7,CNN,baseline,417.76539433954827,269.9015228127191,65.11722271161241
ENERGY,72,72,8,CNN,baseline,431.99851653390937,278.0300784152548,65.45342786840915
ENERGY,72,72,9,CNN,baseline,440.4792647363267,281.9043425940011,66.27068073851211
ENERGY,72,72,10,CNN,baseline,450.9589504349566,289.0499646416622,66.70314749524123
ENERGY,72,72,11,CNN,baseline,458.5859805282972,291.70781803925007,66.96898705683893
ENERGY,72,72,12,CNN,baseline,467.62488349424814,296.42112157804604,67.2081645227323
ENERGY,72,72,13,CNN,baseline,481.4114136865356,307.0371846761611,67.52233920647132
ENERGY,72,72,14,CNN,baseline,487.2469828958414,309.9715972340193,67.93290589326175
ENERGY,72,72,15,CNN,baseline,491.6056958681833,312.12103997794424,68.21079839749277
ENERGY,72,72,16,CNN,baseline,497.6347198187016,316.33031316505424,68.38871073917765
ENERGY,72,72,17,CNN,baseline,503.8906920687725,322.2330981142736,68.61142642476904
ENERGY,72,72,18,CNN,baseline,508.10210877544296,325.5246360539685,69.0019003954857
ENERGY,72,72,19,CNN,baseline,512.4867732855777,328.9910560016981,68.7994417014627
ENERGY,72,72,20,CNN,baseline,515.5759350618682,333.5977579770165,69.06463238915362
ENERGY,72,72,21,CNN,baseline,519.0338651344141,335.79200618847943,69.31830420539546
ENERGY,72,72,22,CNN,baseline,521.221675747095,338.6189415063492,69.48629404809135
ENERGY,72,72,23,CNN,baseline,526.8480528752954,341.7893131690886,69.21174672983298
ENERGY,72,72,24,CNN,baseline,528.2940280902355,340.9412514524913,69.21180456402466
ENERGY,72,72,25,CNN,baseline,528.8511420399715,342.61416225731153,69.43513669816606
ENERGY,72,72,26,CNN,baseline,533.9197941868343,347.3066178519876,69.8304816356356
ENERGY,72,72,27,CNN,baseline,537.2590070256858,350.68645838408474,70.21042760625649
ENERGY,72,72,28,CNN,baseline,541.641872061717,352.4510316073508,70.07367545565296
ENERGY,72,72,29,CNN,baseline,545.6494757878037,354.4995742773266,69.89033516187374
ENERGY,72,72,30,CNN,baseline,548.2103987144686,355.4353181652623,70.1644973987677
ENERGY,72,72,31,CNN,baseline,549.7757859449323,355.12152087316645,70.18266166561015
ENERGY,72,72,32,CNN,baseline,550.3261500354463,355.7530790795737,70.11077556388695
ENERGY,72,72,33,CNN,baseline,550.9622419341929,358.254525674182,70.48477503824847
ENERGY,72,72,34,CNN,baseline,556.9563025994685,361.5577379599052,70.57271243960113
ENERGY,72,72,35,CNN,baseline,554.58418998207,360.23220575726083,70.55248393903241
ENERGY,72,72,36,CNN,baseline,551.5779496453135,358.59589628372606,70.42053729439911
ENERGY,72,72,37,CNN,baseline,552.1490625834989,358.79824118669626,70.0851322201544
ENERGY,72,72,38,CNN,baseline,547.3900928111436,354.5675670926561,70.11988146063463
ENERGY,72,72,39,CNN,baseline,543.7290464957999,351.3000034868326,70.07886347046501
ENERGY,72,72,40,CNN,baseline,544.6570157847676,352.8631093421831,70.16319056420237
ENERGY,72,72,41,CNN,baseline,542.318422158122,350.75721937230713,70.32899465533765
ENERGY,72,72,42,CNN,baseline,538.5997981755152,346.94110446847543,69.98030847810877
ENERGY,72,72,43,CNN,baseline,537.9987516555428,346.80489390194657,70.00605694819049
ENERGY,72,72,44,CNN,baseline,537.651561591619,346.51550009006706,70.38030838340383
ENERGY,72,72,45,CNN,baseline,537.450612011303,347.3517086293785,70.25365205050565
ENERGY,72,72,46,CNN,baseline,536.2916908354371,346.54427952780503,70.21480261436473
ENERGY,72,72,47,CNN,baseline,537.6366991327936,346.5764749374562,70.12344635327496
ENERGY,72,72,48,CNN,baseline,535.792278709929,344.73157661772524,70.23697888962924
ENERGY,72,72,49,CNN,baseline,538.9399237418863,346.17197352768744,70.12769996551036
ENERGY,72,72,50,CNN,baseline,540.779742095334,348.7382782884767,70.33399512109384
ENERGY,72,72,51,CNN,baseline,544.5722389756945,349.1686379449544,70.64872050321063
ENERGY,72,72,52,CNN,baseline,544.8643818098599,348.5497774320317,70.87085482957947
ENERGY,72,72,53,CNN,baseline,551.5411435310403,355.2897459886179,70.71659210728859
ENERGY,72,72,54,CNN,baseline,557.0521438855781,359.4386390998914,70.41962578374793
ENERGY,72,72,55,CNN,baseline,558.5592310571716,358.15530842889984,70.62816161471393
ENERGY,72,72,56,CNN,baseline,569.8661124888268,367.71073472455487,70.92979593230775
ENERGY,72,72,57,CNN,baseline,568.2275145908291,366.3112094659784,71.05997985397684
ENERGY,72,72,58,CNN,baseline,570.6159486177048,367.4126037973463,71.0580187698871
ENERGY,72,72,59,CNN,baseline,573.1471225539381,367.72271526973407,71.03617970930107
ENERGY,72,72,60,CNN,baseline,573.934837124643,369.2635027289496,70.70337443904455
ENERGY,72,72,61,CNN,baseline,579.1074522887491,372.79235225104856,70.76925170157888
ENERGY,72,72,62,LSTM,baseline,582.3250707890396,375.2931039824595,70.83635891725444
ENERGY,72,72,63,CNN,baseline,581.7559754232664,376.6177985942482,70.95178771249041
ENERGY,72,72,64,CNN,baseline,584.095924044029,378.53421125361865,70.93171372402031
ENERGY,72,72,65,CNN,baseline,585.1033631211329,380.39918892658056,71.05330549304189
ENERGY,72,72,66,CNN,baseline,582.4673031322052,377.4600734351424,71.10020549729037
ENERGY,72,72,67,CNN,baseline,581.9272745428503,377.6405483740047,70.93986346670496
ENERGY,72,72,68,CNN,baseline,586.2024179550244,383.7904077508615,71.00894529166946
ENERGY,72,72,69,CNN,baseline,587.000406275826,385.7670781003888,71.28225902087823
ENERGY,72,72,70,CNN,baseline,590.4973041141733,388.7734647863465,71.45249436630894
ENERGY,72,72,71,CNN,baseline,592.771889526908,390.09888207363207,71.34361223743915
ENERGY,72,72,72,CNN,baseline,590.8869881575786,388.8899488233608,71.25405961411177
ENERGY,168,12,1,CNN,baseline,180.20229599751883,115.72038339662905,54.26114156926032
ENERGY,168,12,2,CNN,baseline,226.702146427444,141.3727081863613,55.54190224556027
ENERGY,168,12,3,CNN,baseline,269.1106459494232,166.45428916619255,57.548407859627936
ENERGY,168,12,4,CNN,baseline,303.4165925686559,188.4877480436299,59.57917113960375
ENERGY,168,12,5,CNN,baseline,329.94849959890234,204.27898922018147,60.593159012549
ENERGY,168,12,6,CNN,baseline,355.42596869540296,219.17733392160625,61.89188975426418
ENERGY,168,12,7,CNN,baseline,373.360043738804,228.77849480972003,62.910180294718096
ENERGY,168,12,8,CNN,baseline,388.1496312828022,238.02149313411,63.88078373662538
ENERGY,168,12,9,CNN,baseline,400.6080430886631,245.6423660028629,64.58734981574565
ENERGY,168,12,10,CNN,baseline,413.7934803601544,254.2344379776041,65.2590196823331
ENERGY,168,12,11,CNN,baseline,426.3530495474981,261.30787930968387,65.51120602502026
ENERGY,168,12,12,CNN,baseline,438.2315893009609,269.7267836085564,66.25667258454838
ENERGY,168,24,1,CNN,baseline,224.9982965016564,145.68718263686424,55.656748973688885
ENERGY,168,24,2,CNN,baseline,264.5405701948314,168.5575311708867,57.94645243052945
ENERGY,168,24,3,CNN,baseline,290.8459411984875,184.52014814917283,59.323229573564994
ENERGY,168,24,4,CNN,baseline,320.30811626027395,201.8290204772973,61.36449276236095
ENERGY,168,24,5,CNN,baseline,345.8236513791272,215.2710282196689,62.39332726128123
ENERGY,168,24,6,CNN,baseline,370.5351669741464,229.4734074547219,63.52571116570183
ENERGY,168,24,7,CNN,baseline,388.4107549167927,238.3975873711881,64.79544280505412
ENERGY,168,24,8,CNN,baseline,407.0628700642866,250.6596128283205,65.45156078975823
ENERGY,168,24,9,CNN,baseline,417.1160199956849,255.2755576814082,65.46242875421441
ENERGY,168,24,10,CNN,baseline,430.7373312878697,263.7550560205096,66.02937119069546
ENERGY,168,24,11,CNN,baseline,443.3863880677926,271.32655464292577,66.6540059684841
ENERGY,168,24,12,CNN,baseline,451.1000195504761,274.7809924837025,67.16877807063597
